Position,Athlete,Time,Sex,Year
1,Simon Biwott,2:07:42,M,2000
2,Antoni Peña,2:07:47,M,2000
3,Jackson Kabiga,2:09:52,M,2000
4,Takahiro Sunada,2:10:08,M,2000
5,Paul Kiptanui,2:10:43,M,2000
6,Elias Chebet,2:11:06,M,2000
7,James Moiben,2:12:31,M,2000
8,Motsehi Moeketsana,2:12:47,M,2000
9,William Musyoki,2:12:54,M,2000
10,Moges Taye,2:13:35,M,2000
1,Kazumi Matsuo,2:26:15,F,2000
2,Franca Fiacconi,2:26:42,F,2000
3,Zhang Shujing,2:27:14,F,2000
4,Noriko Geji,2:27:41,F,2000
5,Melanie Kraus,2:27:58,F,2000
6,Helena Sampaio,2:29:34,F,2000
7,Hiromi Nakayama,2:29:39,F,2000
8,Alina Ivanova,2:31:26,F,2000
9,Sara Ferrari,2:31:48,F,2000
10,Chantal Dällenbach,2:33:56,F,2000
1,Joseph Ngolepus,2:08:47,M,2001
2,Willy Cheruiyot Kipkirui,2:09:08,M,2001
3,William Kiplagat,2:09:55,M,2001
4,Tsuyoshi Ogata,2:10:06,M,2001
5,Danilo Goffi,2:10:35,M,2001
6,Frederick Chumba,2:10:36,M,2001
7,Makhosonke Fika,2:10:47,M,2001
8,Viktor Röthlin,2:10:54,M,2001
9,Tesfaye Eticha,2:11:19,M,2001
10,João N’Tyamba,2:11:40,M,2001
1,Naoko Takahashi,2:19:46,F,2001
2,Tegla Loroupe,2:28:03,F,2001
3,Kathrin Weßel,2:28:27,F,2001
4,Shiki Sekiuchi,2:33:23,F,2001
5,Ai Sugihara,2:34:56,F,2001
6,Bev Hartigan,2:36:02,F,2001
7,Faustina-Maria Ramos,2:36:25,F,2001
8,Dagmar Rabensteiner,2:38:03,F,2001
9,Christine Döllinger,2:38:52,F,2001
10,Susanne Johansson,2:40:29,F,2001
1,Raymond Kipkoech,2:06:47,M,2002
2,Simon Biwott,2:06:49,M,2002
3,Vincent Kipsos,2:06:52,M,2002
4,Boniface Usisivu,2:07:50,M,2002
5,Jimmy Muindi,2:08:25,M,2002
6,Kazuhiro Matsuda,2:10:31,M,2002
7,José Ernani Palalia,2:10:39,M,2002
8,Moses Tanui,2:10:40,M,2002
9,Elijah Mutai,2:10:41,M,2002
10,Mark Yatich,2:10:55,M,2002
1,Naoko Takahashi,2:21:49,F,2002
2,Adriana Fernández,2:24:11,F,2002
3,Hellen Jemaiyo Kimutai,2:26:10,F,2002
4,Shitaye Gemechu,2:26:15,F,2002
5,Aurica Buia,2:32:47,F,2002
6,Zahia Dahmani,2:34:16,F,2002
7,Jo Lodge,2:34:17,F,2002
8,Kathrin Weßel,2:36:36,F,2002
9,Griselda González,2:38:29,F,2002
10,Christine Döllinger,2:39:37,F,2002
1,Paul Tergat,2:04:55,M,2003
2,Sammy Korir,2:04:56,M,2003
3,Titus Munji,2:06:15,M,2003
4,Andrés Espinosa,2:08:46,M,2003
5,Raymond Kipkoech,2:09:22,M,2003
6,Kazuhiro Matsuda,2:09:50,M,2003
7,Kurao Umeki,2:09:52,M,2003
8,André Luiz Ramos,2:09:59,M,2003
9,Makhosonke Fika,2:10:16,M,2003
10,Francisco Caballero,2:10:44,M,2003
1,Yasuko Hashimoto,2:26:32,F,2003
2,Emily Chepar Kimuria,2:28:18,F,2003
3,Ornella Ferrara,2:28:28,F,2003
4,Ana Dias,2:28:49,F,2003
5,Alina Ivanova,2:29:00,F,2003
6,Monika Stefanowicz,2:29:58,F,2003
7,Fumi Murata,2:30:15,F,2003
8,Liz Yelling,2:30:58,F,2003
9,Adelia Elias,2:34:07,F,2003
10,Dagmar Rabensteiner,2:34:35,F,2003
1,Felix Limo,2:06:44,M,2004
2,Joseph Muriithi Riri,2:06:49,M,2004
3,Joshua Chelanga,2:07:05,M,2004
4,Wilson Onsare,2:08:53,M,2004
5,Luís Jesus,2:09:08,M,2004
6,Shin-ichi Watanabe,2:09:32,M,2004
7,Luís Novo,2:09:41,M,2004
8,Gashaw Asfaw,2:09:47,M,2004
9,Isaac Macharia Wanjohi,2:11:26,M,2004
10,Ernest Kipyego,2:11:52,M,2004
1,Yoko Shibui,2:19:41,F,2004
2,Hiromi Ominami,2:23:26,F,2004
3,Sonja Oberem,2:26:53,F,2004
4,Beatrice Omwanza,2:27:19,F,2004
5,Leila Aman,2:27:54,F,2004
