Position,Athlete,Time,Sex,Year
1,António Pinto,2:06:36,M,2000
2,Abdelkader El Mouaziz,2:07:33,M,2000
3,Khalid Khannouchi,2:08:36,M,2000
4,William Kiplagat,2:09:06,M,2000
5,Hendrick Ramaala,2:09:43,M,2000
6,Stefano Baldini,2:09:45,M,2000
7,Mathias Ntawulikura,2:09:55,M,2000
8,Josia Thugwane,2:10:29,M,2000
9,Mukhamet Nazipov,2:10:35,M,2000
10,Danilo Goffi,2:10:54,M,2000
11,Mark Steinle,2:11:18,M,2000
12,Gert Thys,2:11:32,M,2000
13,Shem Kororia,2:12:28,M,2000
14,Patrick Ndayisenga,2:13:28,M,2000
15,Keith Cullen,2:13:37,M,2000
16,John Mutai,2:14:55,M,2000
17,Jamie Lewis,2:15:07,M,2000
18,Mark Hudspith,2:15:16,M,2000
19,Sergio Jimenez,2:15:37,M,2000
20,William Burns,2:15:42,M,2000
21,Alejandro Gomez,2:15:48,M,2000
22,Mark Croasdale,2:16:03,M,2000
23,Joseph Maqala,2:17:00,M,2000
24,Rhodri Jones,2:18:35,M,2000
25,Ian Hudspith,2:18:40,M,2000
1,Tegla Loroupe,2:24:33,F,2000
2,Lidia Șimon,2:24:46,F,2000
3,Joyce Chepchumba,2:24:57,F,2000
4,Adriana Fernández,2:25:42,F,2000
5,Kerryn McCann,2:25:59,F,2000
6,Derartu Tulu,2:26:09,F,2000
7,Maria Guida,2:26:12,F,2000
8,Lyubov Morgunova,2:26:33,F,2000
9,Manuela Machado,2:26:41,F,2000
10,Svetlana Zakharova,2:28:11,F,2000
11,Zinaida Semenova,2:28:46,F,2000
12,Ham Bong-sil,2:29:08,F,2000
13,Esther Kiplagat,2:30:30,F,2000
14,Ramilya Burangulova,2:31:14,F,2000
15,Cleusa Maria Irineu,2:35:11,F,2000
16,Silvana Trampuz,2:36:32,F,2000
17,Kim Chang-ok,2:36:39,F,2000
18,Patricia Jardon,2:37:05,F,2000
19,Teresa Duffy,2:38:30,F,2000
20,Lynne MacDougall,2:38:32,F,2000
21,Alison Wyeth,2:39:02,F,2000
22,Trudi Thomson,2:40:40,F,2000
23,Jo Lodge,2:40:52,F,2000
24,Angela Joiner,2:44:07,F,2000
25,Jo-Anne Newcombe,2:46:16,F,2000
1,Abdelkader El Mouaziz,2:07:11,M,2001
2,Paul Tergat,2:08:15,M,2001
3,António Pinto,2:09:36,M,2001
4,Tesfaye Jifar,2:09:45,M,2001
5,Japhet Kosgei,2:10:45,M,2001
6,Mark Steinle,2:10:46,M,2001
7,Takayuki Inubushi,2:11:42,M,2001
8,Abel Antón,2:11:57,M,2001
9,Hendrick Ramaala,2:12:02,M,2001
10,Gert Thys,2:12:11,M,2001
11,Mark Hudspith,2:13:13,M,2001
12,Joseph Mereng,2:13:26,M,2001
13,Mohamed El Hattab,2:14:27,M,2001
14,Alfred Shemveta,2:15:34,M,2001
15,Erick Wainaina,2:15:43,M,2001
16,Craig Kirkwood,2:16:25,M,2001
17,Simon Pride,2:16:27,M,2001
18,David Makori,2:17:09,M,2001
19,William Burns,2:18:29,M,2001
20,Robert Holladay,2:19:26,M,2001
1,Derartu Tulu,2:23:57,F,2001
2,Svetlana Zakharova,2:24:04,F,2001
3,Joyce Chepchumba,2:24:12,F,2001
4,Lidia Șimon,2:24:15,F,2001
5,Elfenesh Alemu,2:24:29,F,2001
6,Nuța Olaru,2:25:18,F,2001
7,Alina Ivanova,2:25:34,F,2001
8,Tegla Loroupe,2:26:10,F,2001
9,Adriana Fernández,2:26:22,F,2001
10,Madina Biktagirova,2:27:14,F,2001
11,Marleen Renders,2:28:31,F,2001
12,Harumi Hiroyama,2:29:01,F,2001
13,Lidiya Vasilevskaya,2:31:36,F,2001
14,Irina Bogacheva,2:32:28,F,2001
15,Teresa Duffy,2:35:27,F,2001
16,Lynne MacDougall,2:37:20,F,2001
17,Bev Hartigan,2:37:45,F,2001
18,Sara Elizabeth Cedillo,2:38:53,F,2001
19,Tania Jones,2:39:10,F,2001
20,Mika Adachi,2:41:35,F,2001
1,Khalid Khannouchi,2:05:38,M,2002
2,Paul Tergat,2:05:48,M,2002
3,Haile Gebrselassie,2:06:35,M,2002
4,Abdelkader El Mouaziz,2:06:52,M,2002
5,Ian Syster,2:07:06,M,2002
6,Stefano Baldini,2:07:29,M,2002
7,António Pinto,2:09:10,M,2002
8,Mark Steinle,2:09:17,M,2002
9,Tesfaye Jifar,2:09:50,M,2002
10,Mohamed El Hattab,2:11:50,M,2002
11,Michael Buchleitner,2:14:11,M,2002
12,Rachid Ghanmouni,2:15:29,M,2002
13,William Kiplagat,2:15:59,M,2002
14,William Burns,2:17:36,M,2002
15,Dan Robinson,2:17:51,M,2002
16,Julius Kimutai,2:18:13,M,2002
