Position,Athlete,Time,Sex,Year
1,Abdelkhader El Mouaziz,2:10:09,M,2000
2,Japhet Kosgei,2:12:29,M,2000
3,Shem Kororia,2:12:32,M,2000
4,Elijah Korir,2:12:59,M,2000
5,Abraham Assefa,2:13:14,M,2000
6,Josia Thugwane,2:15:23,M,2000
7,Yasuaki Yamamoto,2:15:35,M,2000
8,Simon Bor,2:16:21,M,2000
9,Mathias Ntawurikura,2:16:26,M,2000
10,John Kagwe,2:16:59,M,2000
11,Koji Shimizu,2:18:54,M,2000
12,Shadrack Hoff,2:18:56,M,2000
13,Marco Orsi,2:19:56,M,2000
14,German Silva,2:20:40,M,2000
15,Joseph Mereng,2:20:51,M,2000
16,Benedict Kimondiu,2:21:26,M,2000
17,Sam Ngatia,2:22:57,M,2000
18,Chris Verbeeck,2:23:13,M,2000
19,Paul Pilkington,2:23:30,M,2000
20,Fabien Manzanares,2:23:23,M,2000
1,Tesfaye Jifar,2:07:43,M,2001
2,Japhet Kosgei,2:09:19,M,2001
3,Rodgers Rop,2:09:51,M,2001
4,John Kagwe,2:11:56,M,2001
5,Joseph Chebet,2:13:08,M,2001
6,Lahoussine Mrikik,2:13:30,M,2001
7,Stephen Ndungu,2:14:20,M,2001
8,Robert Stefko,2:14:44,M,2001
9,Paul Kipsambu,2:15:04,M,2001
10,Scott Larson,2:15:25,M,2001
11,Alejandro Villanueva,2:17:44,M,2001
12,Kenneth Cheruiyot,2:18:19,M,2001
13,Shawn Found,2:18:28,M,2001
14,Warren Petterson,2:18:54,M,2001
15,Keith Dowling,2:19:09,M,2001
16,Valerio Brignone,2:20:17,M,2001
17,Darrell General,2:20:18,M,2001
18,Kevin Collins,2:20:22,M,2001
19,Peter Sherry,2:20:37,M,2001
20,Terrence Mahon,2:21:09,M,2001
1,Rodgers Rop,2:08:07,M,2002
2,Christopher Cheboiboch,2:08:17,M,2002
3,Laban Kipkemboi,2:08:39,M,2002
4,Mohamed Ouaadi,2:08:53,M,2002
5,Stefano Baldini,2:09:12,M,2002
6,Mark Carroll,2:10:54,M,2002
7,Gert Thys,2:11:48,M,2002
8,Matt O'Dowd,2:12:20,M,2002
9,Meb Keflezighi,2:12:35,M,2002
10,Stephen Ndungu,2:13:28,M,2002
11,Jeff Schiebler,2:14:13,M,2002
12,Wilson Musto,2:15:45,M,2002
13,Matteo Palumbo,2:16:06,M,2002
14,Hendrick Ramaala,2:17:10,M,2002
15,Mitsunori Hirayama,2:17:14,M,2002
16,Gabriel Muchiri,2:17:30,M,2002
17,David Ruto,2:18:43,M,2002
18,Fedor Ryzhov,2:18:46,M,2002
19,Japhet Kosgei,2:18:55,M,2002
20,Henry Tarus,2:19:40,M,2002
1,Martin Lel,2:10:30,M,2003
2,Rodgers Rop,2:11:11,M,2003
3,Christopher Cheboiboch,2:11:23,M,2003
4,Elly Rono,2:11:31,M,2003
5,Alberico Di Cecco,2:11:40,M,2003
6,Ottaviano Andriani,2:13:10,M,2003
7,David Makori,2:13:20,M,2003
8,Laban Kipkemboi,2:13:55,M,2003
9,John Kagwe,2:14:08,M,2003
10,Elarbi Khattabi,2:15:10,M,2003
11,Timothy Cherigat,2:15:57,M,2003
12,Vito Sardella,2:16:10,M,2003
13,Raymond Kipkoech,2:16:16,M,2003
14,Gert Thys,2:16:49,M,2003
15,Augustus Kavutu,2:18:30,M,2003
16,Andrey Gordayev,2:18:38,M,2003
17,Matt Downin,2:18:48,M,2003
