Position,Athlete,Time,Sex,Year
1,Daniel Njenga,2:09:45,M,2007
2,Tomoyuki Sato,2:11:22,M,2007
3,Satoshi Irifune,2:12:44,M,2007
4,Masashi Hayashi,2:15:28,M,2007
5,Kazuyoshi Tokumoto,2:15:55,M,2007
6,Vanderlei de Lima,2:16:08,M,2007
7,Seiji Kobayashi,2:17:13,M,2007
8,Manabu Itayama,2:17:29,M,2007
9,Koji Konan,2:18:03,M,2007
10,Taye Moges,2:18:20,M,2007
1,Hitomi Niiya,2:31:02,F,2007
2,Mari Tanigawa,2:49:54,F,2007
3,Tanaka Hikaru,2:50:02,F,2007
4,Myanna Lennon,2:52:05,F,2007
5,Yuko Arimori,2:52:45,F,2007
6,Yumiko Suda,2:55:31,F,2007
7,Abe Michiyo,2:56:14,F,2007
8,Junko Kataoka,2:56:20,F,2007
9,Mami Kudo,2:57:03,F,2007
10,Mitsuko Hirose,2:57:21,F,2007
1,Viktor Röthlin,2:07:23,M,2008
2,Arata Fujiwara,2:08:40,M,2008
3,Julius Gitahi,2:08:57,M,2008
4,Toshinari Suwa,2:09:16,M,2008
5,Satoshi Irifune,2:09:40,M,2008
6,Kurao Umeki,2:11:00,M,2008
7,Seiji Kobayashi,2:11:02,M,2008
8,Kazutoshi Takatsuka,2:11:05,M,2008
9,Hiroyuki Horibata,2:11:47,M,2008
10,Takashi Ota,2:12:10,M,2008
1,Claudia Dreher,2:35:35,F,2008
2,Risa Mizutani,2:48:59,F,2008
3,Yoshimi Kasezawa,2:51:18,F,2008
4,Mineko Yamanouchi,2:52:02,F,2008
5,Miyo Tanabe,2:52:07,F,2008
6,Yuko Ishida,2:53:02,F,2008
7,Yasuko Tsukamoto,2:53:53,F,2008
8,Wu Wan-ling,2:54:11,F,2008
9,Keiko Hiyama,2:54:20,F,2008
10,Hikaru Tanaka,2:54:45,F,2008
1,Salim Kipsang,2:10:27,M,2009
2,Kazuhiro Maeda,2:11:01,M,2009
